measurement_index,repeat,R_H_raw,R_xx_raw
41,3,-1.51550665126e-11,1.90260815685e-11
42,3,-1.26644324675e-11,1.47870353044e-11
43,3,-1.17939092071e-11,1.23772222063e-11
44,3,-1.12745988522e-11,1.21627633438e-11
45,3,-1.00086138342e-11,1.04113132115e-11
46,3,-9.60147448958e-12,1.03946886206e-11
47,3,-7.30494402618e-12,7.71543159323e-12
48,3,-2.37638989895e-12,4.34576749598e-12
49,3,-2.18638781382e-12,4.79078518022e-12
50,3,-2.29147663936e-12,2.90169398685e-12
51,3,-1.09870209618e-12,4.16453025172e-12
52,3,-9.48294060319e-13,2.57489958728e-12
53,3,-1.0048643019e-12,1.83061990288e-12
54,3,-8.97831934383e-13,2.03484473537e-12
